Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.010000	1.570935	1.437686	63.067500	65.076000	
0.009973	1.538515	1.423123	63.816271	65.324000	
0.009891	1.530183	1.370742	64.074707	66.662000	
0.009755	1.517645	1.392051	64.299034	66.116000	
0.009568	1.509167	1.379988	64.510638	66.312000	
0.009330	1.497799	1.391214	64.743550	66.250000	
0.009045	1.488072	1.375354	64.982941	66.266000	
0.008716	1.480018	1.369955	65.229357	66.546000	
0.008346	1.470043	1.355094	65.428629	66.950000	
0.007939	1.458512	1.357714	65.621578	66.874000	
0.007500	1.448713	1.343153	65.818664	67.092000	
0.007034	1.433729	1.343368	66.209792	67.220000	
0.006545	1.421190	1.322610	66.470726	67.630000	
0.006040	1.409604	1.316261	66.714097	67.904000	
0.005523	1.398381	1.309448	67.012653	67.874000	
0.005000	1.384230	1.299054	67.328771	68.224000	
0.004477	1.369587	1.285974	67.598291	68.444000	
0.003960	1.357183	1.291465	67.888261	68.228000	
0.003455	1.342228	1.269725	68.220614	68.992000	
0.002966	1.329928	1.258480	68.514877	68.990000	
0.002500	1.316231	1.267649	68.824673	68.832000	
0.002061	1.301445	1.242994	69.189028	69.410000	
0.001654	1.288266	1.239805	69.460890	69.326000	
0.001284	1.278496	1.220690	69.712848	69.964000	
0.000955	1.265893	1.222249	70.003130	69.904000	
0.000670	1.251851	1.212001	70.288495	70.236000	
0.000432	1.240049	1.204092	70.561995	70.282000	
0.000245	1.229999	1.199332	70.850170	70.260000	
0.000109	1.217677	1.194479	71.099942	70.508000	
0.000027	1.208866	1.185179	71.276500	70.826000	
